sale_date,product_category,region,sales_amount
2024-08-18,Headphones,West,1167
2024-02-10,Tablet,North,1677
2024-01-28,Smartphone,South,1111
2024-05-14,Smartphone,North,2374
2024-07-19,Tablet,South,4969
2024-11-23,Headphones,West,1914
2024-09-24,Smartphone,West,2526
2024-02-02,Smartwatch,West,4502
2024-02-17,Smartphone,West,4974
2024-03-02,Laptop,South,2651
2024-08-03,Laptop,East,3757
2024-10-19,Headphones,South,107
2024-04-08,Tablet,North,2655
2024-06-20,Headphones,West,575
2024-12-25,Headphones,West,2311
2024-08-01,Headphones,North,584
2024-02-04,Headphones,South,4754
2024-08-14,Smartwatch,East,2385
2024-04-10,Smartwatch,East,4663
2024-05-10,Smartphone,North,3625
2024-09-13,Laptop,East,3439
2024-01-05,Headphones,South,2922
2024-08-05,Smartphone,South,3024
2024-09-11,Laptop,North,358
2024-12-24,Tablet,South,382
2024-10-09,Smartwatch,West,1998
2024-07-25,Laptop,North,4235
2024-01-15,Tablet,South,3076
2024-12-11,Laptop,North,2367
2024-02-11,Smartwatch,East,3300
2024-06-27,Smartwatch,South,712
2024-03-03,Smartphone,West,787
2024-12-17,Headphones,South,3790
2024-08-18,Laptop,North,712
2024-08-28,Laptop,North,2407
2024-02-21,Tablet,South,3113
2024-04-05,Smartwatch,West,1881
2024-08-09,Laptop,West,2691
2024-08-18,Smartwatch,West,2796
2024-08-24,Laptop,North,4058
2024-05-22,Smartphone,South,674
2024-06-19,Headphones,East,2010
2024-01-29,Laptop,North,3704
2024-02-05,Smartwatch,West,769
2024-01-13,Smartphone,South,4464
2024-06-08,Laptop,West,1383
2024-11-22,Tablet,East,1023
2024-07-05,Headphones,West,1225
2024-08-30,Laptop,West,1629
2024-03-26,Smartphone,East,1694
2024-10-10,Tablet,South,346
2024-03-06,Smartphone,North,3811
2024-06-18,Smartphone,South,1660
2024-02-14,Tablet,East,2500
2024-03-02,Smartphone,West,2343
2024-05-13,Tablet,South,3964
2024-10-10,Laptop,North,2039
2024-01-28,Tablet,East,3169
2024-04-17,Tablet,South,326
2024-02-13,Headphones,North,3647
2024-12-05,Tablet,East,364
2024-10-12,Tablet,North,1495
2024-11-26,Laptop,East,3657
2024-05-07,Headphones,West,745
2024-12-13,Smartwatch,South,3090
2024-08-18,Laptop,North,1999
2024-07-08,Laptop,East,2604
2024-08-12,Smartwatch,North,2872
2024-10-09,Tablet,North,1254
2024-04-30,Smartphone,South,687
2024-04-25,Headphones,West,4671
2024-08-20,Smartphone,North,1921
2024-09-15,Smartwatch,East,1085
2024-12-24,Laptop,East,4179
2024-07-16,Laptop,West,3448
2024-05-16,Headphones,East,3931
2024-11-13,Laptop,West,1341
2024-06-13,Laptop,East,289
2024-08-12,Headphones,South,1080
2024-11-02,Headphones,North,1798
2024-08-21,Smartwatch,South,1815
2024-06-20,Laptop,North,2693
2024-05-31,Laptop,North,4236
2024-11-10,Smartwatch,North,4533
2024-06-08,Tablet,South,1198
2024-04-05,Tablet,North,2426
2024-08-20,Tablet,South,3347
2024-06-28,Smartwatch,West,995
2024-04-22,Laptop,East,1774
2024-11-13,Smartwatch,East,3009
2024-02-21,Smartwatch,North,1030
2024-09-24,Tablet,South,4484
2024-10-21,Smartphone,East,823
2024-04-22,Laptop,South,3040
2024-04-10,Tablet,South,1189
2024-04-22,Smartphone,North,4678
2024-03-21,Smartphone,East,1035
2024-07-05,Headphones,North,2395
2024-04-22,Laptop,North,255
2024-01-02,Smartphone,East,1170
2024-05-09,Tablet,East,2058
2024-08-07,Headphones,West,2601
2024-02-23,Laptop,West,4319
2024-12-08,Smartwatch,South,3930
2024-08-11,Tablet,East,954
2024-08-12,Smartphone,West,739
2024-05-05,Smartphone,South,2338
2024-05-09,Tablet,South,1702
2024-02-22,Smartphone,South,541
2024-06-20,Headphones,West,4728
2024-08-05,Laptop,East,1436
2024-06-08,Headphones,North,3800
2024-07-16,Smartphone,South,1048
2024-09-03,Smartwatch,West,3473
2024-11-19,Laptop,West,559
2024-07-21,Laptop,North,4746
2024-07-02,Tablet,North,492
2024-05-02,Tablet,West,4038
2024-09-11,Smartwatch,East,1887
2024-10-20,Laptop,North,2357
2024-10-06,Smartwatch,West,1238
2024-11-20,Tablet,North,3908
2024-04-07,Tablet,East,4841
2024-07-16,Laptop,South,2554
2024-08-27,Headphones,North,1566
2024-05-23,Smartphone,East,3774
2024-04-06,Tablet,West,1477
2024-07-19,Tablet,North,2697
2024-05-03,Headphones,North,241
2024-07-05,Headphones,West,2759
2024-11-21,Smartwatch,South,4696
2024-12-14,Smartwatch,West,939
2024-09-15,Smartphone,North,3718
2024-05-27,Smartphone,West,4017
2024-09-08,Laptop,East,695
2024-12-11,Smartwatch,West,2004
2024-05-26,Tablet,North,380
2024-05-27,Smartwatch,West,523
2024-12-17,Tablet,South,4465
2024-07-17,Headphones,West,4349
2024-11-03,Smartwatch,South,1850
2024-05-07,Headphones,East,4857
2024-02-08,Smartphone,South,2067
2024-12-03,Smartphone,West,4188
2024-12-25,Laptop,North,4278
2024-05-08,Smartwatch,South,3046
2024-09-23,Headphones,East,1549
2024-05-30,Tablet,South,2431
2024-10-24,Smartphone,South,2320
2024-04-08,Smartphone,South,3889
2024-09-19,Tablet,East,2910
2024-09-08,Headphones,West,4828
2024-05-23,Headphones,South,1631
2024-12-11,Smartwatch,South,4982
2024-04-21,Smartwatch,North,3090
2024-02-29,Laptop,East,4593
2024-01-02,Smartphone,South,1243
2024-10-30,Smartwatch,East,1033
2024-09-10,Headphones,South,1560
2024-05-19,Tablet,West,2823
2024-02-06,Headphones,West,2612
2024-06-08,Smartphone,South,385
2024-01-09,Headphones,West,364
2024-08-20,Laptop,South,2467
2024-04-08,Smartphone,West,3547
2024-05-26,Tablet,North,1862
2024-10-30,Laptop,North,3148
2024-07-26,Smartphone,North,2481
2024-05-10,Tablet,East,2369
2024-05-31,Laptop,East,140
2024-02-23,Laptop,North,167
2024-04-29,Smartphone,East,1087
2024-06-09,Smartwatch,West,4108
2024-04-25,Laptop,South,3298
2024-03-15,Laptop,South,4890
2024-04-22,Tablet,South,2624
2024-04-13,Headphones,North,1185
2024-12-05,Smartphone,East,2579
2024-09-10,Smartphone,West,1793
2024-08-14,Smartwatch,West,2415
2024-04-21,Smartwatch,North,878
2024-04-08,Smartphone,West,4689
2024-06-01,Smartwatch,West,1685
2024-12-14,Tablet,West,1592
2024-12-31,Smartphone,West,760
2024-12-03,Smartwatch,East,1448
2024-07-12,Smartphone,West,1399
2024-11-05,Headphones,South,4040
2024-06-11,Laptop,North,2086
2024-07-26,Smartphone,East,2144
2024-06-17,Laptop,West,3616
2024-06-09,Smartwatch,East,1158
2024-03-08,Laptop,West,1076
2024-10-15,Smartphone,South,4677
2024-10-03,Headphones,North,827
2024-10-30,Smartwatch,West,2627
2024-05-14,Smartphone,West,3236
2024-07-13,Smartwatch,West,442
2024-05-07,Tablet,West,1547
2024-02-02,Laptop,North,2479
2024-06-24,Tablet,North,3759
2024-01-22,Smartphone,South,626
2024-08-25,Headphones,North,1996
2024-06-06,Smartwatch,West,4854
2024-02-07,Laptop,South,2173
2024-08-17,Smartwatch,South,505
2024-12-30,Smartphone,South,1673
2024-02-20,Smartwatch,West,4700
2024-09-20,Laptop,East,3840
2024-10-09,Smartphone,West,4374
2024-01-27,Smartwatch,North,4327
2024-08-13,Headphones,North,1946
2024-10-03,Smartphone,West,1578
2024-10-12,Smartphone,West,2495
2024-04-06,Headphones,South,871
2024-10-10,Tablet,West,678
2024-11-12,Laptop,South,3001
2024-10-30,Tablet,North,293
2024-05-26,Smartwatch,South,2107
2024-01-04,Headphones,West,1285
2024-02-04,Tablet,North,2494
2024-07-10,Smartphone,East,3098
2024-02-18,Smartwatch,South,1892
2024-01-17,Smartwatch,North,1210
2024-06-20,Tablet,South,4105
2024-08-07,Tablet,North,2361
2024-06-06,Headphones,North,3836
2024-02-15,Laptop,South,3893
2024-01-06,Tablet,East,2036
2024-04-08,Tablet,North,4975
2024-08-20,Smartphone,North,4457
2024-02-06,Smartwatch,North,829
2024-10-06,Laptop,East,4478
2024-12-14,Smartphone,East,3551
2024-10-28,Headphones,West,4557
2024-06-29,Headphones,South,4636
2024-04-04,Tablet,East,2240
2024-04-08,Tablet,South,1744
2024-07-06,Headphones,West,2900
2024-04-25,Tablet,South,241
2024-07-09,Laptop,East,1555
2024-09-09,Tablet,South,4896
2024-06-09,Smartwatch,East,2196
2024-09-12,Tablet,South,1425
2024-11-18,Smartphone,East,1313
2024-05-07,Laptop,East,1259
2024-01-18,Smartphone,South,4750
2024-10-07,Smartphone,West,4599
2024-08-10,Smartwatch,North,4797
2024-02-23,Laptop,West,440
2024-02-27,Laptop,South,3928
2024-11-18,Laptop,West,2068
2024-12-25,Laptop,East,803
2024-06-22,Laptop,North,4513
2024-10-06,Smartwatch,South,2529
2024-04-23,Tablet,South,1900
2024-10-14,Smartphone,South,4748
2024-12-07,Laptop,North,955
2024-05-30,Tablet,East,1912
2024-05-06,Tablet,South,2966
2024-06-03,Smartphone,West,3742
2024-09-29,Smartwatch,South,282
2024-04-13,Headphones,South,3212
2024-10-25,Headphones,South,4592
2024-09-02,Tablet,South,1617
2024-06-24,Smartphone,East,1456
2024-02-08,Headphones,West,2274
2024-06-18,Tablet,East,3729
2024-09-03,Smartwatch,West,3728
2024-01-26,Headphones,South,4196
2024-12-20,Tablet,North,3339
2024-11-01,Tablet,East,3791
2024-01-13,Laptop,North,118
2024-11-11,Smartwatch,East,3503
2024-11-08,Laptop,South,4779
2024-02-05,Smartphone,East,4651
2024-06-21,Laptop,South,3104
2024-01-20,Laptop,East,1232
2024-11-16,Headphones,South,3439
2024-09-20,Tablet,South,3411
2024-05-21,Smartwatch,West,3472
2024-05-22,Laptop,South,1087
2024-04-01,Smartwatch,West,3421
2024-12-19,Laptop,South,4715
2024-11-17,Smartphone,North,273
2024-10-14,Laptop,South,3841
2024-08-02,Headphones,North,3152
2024-12-07,Tablet,North,826
2024-02-20,Smartphone,South,3860
2024-06-01,Laptop,North,1975
2024-07-04,Smartwatch,West,4133
2024-03-03,Smartphone,East,1089
2024-07-08,Smartphone,South,3844
2024-05-04,Laptop,North,2786
2024-05-29,Smartphone,South,519
2024-11-09,Smartwatch,West,693
2024-02-27,Smartphone,South,1874
2024-12-07,Smartwatch,South,2559
2024-10-31,Laptop,North,1035
2024-06-28,Tablet,West,3908
2024-06-18,Smartphone,East,431
2024-11-21,Tablet,East,3549
2024-09-27,Smartwatch,North,2802
2024-02-23,Smartphone,South,4106
2024-04-10,Headphones,North,3968
2024-09-20,Tablet,North,4300
2024-02-22,Smartphone,North,301
2024-02-29,Tablet,South,2597
2024-04-17,Smartphone,West,1942
2024-01-05,Laptop,North,1966
2024-04-12,Tablet,South,2096
2024-07-14,Headphones,West,1009
2024-09-18,Headphones,North,4405
2024-12-30,Smartwatch,East,4758
2024-12-15,Smartphone,West,3289
2024-02-16,Tablet,North,870
2024-12-20,Smartwatch,West,3255
2024-11-06,Tablet,West,2601
2024-11-03,Smartphone,West,2814
2024-05-23,Headphones,West,4824
2024-09-25,Laptop,West,3685
2024-05-03,Headphones,West,1728
2024-04-15,Smartwatch,North,486
2024-06-06,Laptop,East,3521
2024-05-26,Smartwatch,South,4108
2024-05-24,Smartphone,West,4193
2024-04-29,Laptop,South,4463
2024-11-14,Smartwatch,North,2566
2024-10-01,Smartphone,West,2382
2024-04-01,Headphones,East,1956
2024-02-27,Smartphone,South,2098
2024-12-11,Tablet,West,1336
2024-08-16,Smartphone,North,4769
2024-04-26,Smartphone,East,4244
2024-11-13,Tablet,South,1250
2024-10-05,Smartwatch,South,4418
2024-05-06,Smartwatch,West,1531
2024-05-08,Smartphone,East,1919
2024-02-27,Tablet,East,2424
2024-05-01,Tablet,East,1230
2024-01-01,Headphones,East,2758
2024-08-26,Smartwatch,North,3600
2024-10-16,Laptop,East,474
2024-04-05,Smartwatch,South,2220
2024-05-05,Smartwatch,South,4120
2024-04-27,Headphones,North,2121
2024-02-17,Laptop,South,3805
2024-03-29,Headphones,South,3359
2024-08-24,Laptop,East,3535
2024-09-28,Smartphone,South,1989
2024-07-07,Laptop,North,1923
2024-07-10,Headphones,East,1574
2024-03-09,Smartwatch,West,2342
2024-10-04,Laptop,East,3343
2024-12-14,Laptop,North,3234
2024-09-03,Tablet,East,2170
2024-03-16,Smartwatch,East,459
2024-06-02,Smartphone,North,2141
2024-05-23,Headphones,East,1241
2024-03-26,Smartphone,North,1735
2024-07-03,Smartwatch,North,4100
2024-10-11,Laptop,West,2043
2024-08-07,Laptop,South,4874
2024-03-09,Smartwatch,South,3461
2024-02-16,Laptop,East,3080
2024-04-03,Laptop,East,106
2024-08-25,Laptop,West,3367
2024-07-22,Headphones,West,1691
2024-08-05,Headphones,West,3364
2024-12-06,Tablet,North,2706
2024-02-08,Smartphone,West,3319
2024-04-09,Smartwatch,West,3373
2024-10-15,Smartwatch,East,1013
2024-09-10,Smartwatch,West,2111
2024-08-09,Tablet,North,1542
2024-12-22,Headphones,North,3154
2024-01-23,Tablet,East,3646
2024-09-06,Smartwatch,West,4321
2024-01-10,Smartphone,West,3028
2024-09-02,Laptop,North,1929
2024-11-20,Headphones,West,675
2024-04-09,Headphones,West,1029
2024-10-16,Tablet,West,3859
2024-06-28,Headphones,South,3799
2024-08-10,Smartwatch,East,1563
2024-09-06,Smartwatch,South,3375
2024-05-26,Tablet,East,1154
2024-04-05,Smartwatch,North,2000
2024-09-13,Smartphone,West,1557
2024-11-20,Tablet,East,1499
2024-01-04,Smartphone,South,3515
2024-01-16,Laptop,West,542
2024-10-06,Smartphone,North,3750
2024-12-01,Laptop,East,4752
2024-09-03,Laptop,East,1278
2024-09-14,Smartphone,East,4558
2024-06-08,Tablet,West,1357
2024-12-05,Smartwatch,South,3734
2024-05-31,Smartwatch,South,1941
2024-06-26,Laptop,East,2409
2024-06-11,Laptop,North,1010
2024-02-02,Tablet,North,4440
2024-06-27,Headphones,South,4737
2024-04-10,Smartphone,North,4109
2024-09-24,Laptop,South,2269
2024-11-18,Smartwatch,East,2272
2024-03-05,Tablet,South,223
2024-06-16,Smartphone,South,3258
2024-11-25,Tablet,East,885
2024-02-12,Smartphone,North,2516
2024-02-13,Smartphone,South,896
2024-10-11,Laptop,South,4272
2024-01-12,Tablet,East,4254
2024-04-04,Tablet,North,2036
2024-10-28,Smartwatch,South,2256
2024-09-09,Smartwatch,East,3907
2024-08-29,Laptop,South,1401
2024-02-04,Laptop,West,4263
2024-08-02,Headphones,East,3240
2024-12-02,Smartwatch,North,3336
2024-03-30,Smartphone,North,2452
2024-09-20,Tablet,North,2032
2024-04-02,Laptop,North,2821
2024-03-30,Tablet,South,464
2024-04-24,Tablet,South,2490
2024-04-14,Headphones,North,1046
2024-07-14,Smartwatch,North,1477
2024-11-09,Laptop,North,1539
2024-04-23,Tablet,South,3280
2024-03-15,Laptop,North,4957
2024-08-04,Smartphone,North,440
2024-10-03,Headphones,West,3089
2024-09-05,Smartphone,West,482
2024-06-12,Laptop,North,1656
2024-12-22,Laptop,East,399
2024-07-10,Smartwatch,North,238
2024-08-14,Tablet,West,458
2024-06-25,Tablet,East,1622
2024-04-08,Smartphone,East,3556
2024-02-05,Headphones,North,1727
2024-04-05,Tablet,West,1403
2024-05-31,Smartwatch,West,1234
2024-05-30,Smartphone,East,2286
2024-07-08,Smartphone,North,3270
2024-08-11,Smartwatch,South,3935
2024-02-06,Headphones,South,2251
2024-09-24,Smartwatch,West,1337
2024-07-01,Headphones,South,3835
2024-01-13,Smartwatch,West,2934
2024-10-05,Smartwatch,West,4360
2024-08-04,Laptop,West,1098
2024-12-20,Smartphone,South,2667
2024-12-26,Smartwatch,West,1407
2024-10-12,Smartwatch,East,756
2024-09-29,Tablet,North,2760
2024-03-02,Smartphone,North,2311
2024-03-24,Tablet,West,2009
2024-08-04,Smartphone,North,3830
2024-12-07,Tablet,South,2146
2024-07-05,Smartwatch,South,3262
2024-01-19,Smartwatch,North,1240
2024-06-25,Laptop,South,366
2024-04-09,Tablet,North,1945
2024-08-20,Headphones,North,1808
2024-03-16,Laptop,North,3730
2024-09-21,Tablet,West,3311
2024-10-10,Tablet,North,2393
2024-07-24,Laptop,West,3832
2024-08-10,Smartwatch,North,3929
2024-02-21,Tablet,North,1610
2024-12-04,Smartwatch,North,575
2024-05-23,Laptop,South,1076
2024-03-09,Smartwatch,West,1307
2024-04-08,Smartphone,West,2060
2024-01-25,Headphones,North,657
2024-02-22,Tablet,North,982
2024-05-30,Headphones,South,2294
2024-05-23,Smartwatch,South,4861
2024-02-26,Tablet,South,2767
2024-02-08,Smartwatch,West,4777
2024-04-18,Smartphone,West,4890
2024-06-29,Laptop,West,1710
2024-02-11,Tablet,North,3588
2024-07-04,Smartphone,West,2554
2024-08-10,Smartphone,East,4594
2024-05-01,Tablet,East,2046
2024-05-12,Smartwatch,South,4910
2024-06-11,Smartphone,West,4899
2024-08-02,Headphones,East,2908
2024-08-08,Smartphone,South,3925
2024-08-22,Smartwatch,West,3636
2024-11-26,Smartwatch,North,3902
2024-05-25,Headphones,East,4277
2024-08-26,Smartphone,North,4799
2024-03-16,Smartwatch,West,2070
2024-01-09,Tablet,East,3922
2024-03-14,Laptop,West,2919
2024-09-09,Laptop,North,1002
2024-08-17,Laptop,East,464
2024-01-07,Smartphone,North,4358
2024-06-22,Headphones,West,3219
2024-05-20,Smartwatch,West,2658
2024-06-16,Tablet,North,1963
2024-06-18,Tablet,East,215
2024-10-09,Smartphone,North,2484
2024-05-01,Laptop,West,4035
2024-07-12,Smartphone,North,2590
2024-01-05,Headphones,West,1042
2024-01-29,Headphones,North,1824
2024-06-13,Smartwatch,East,2434
2024-12-04,Smartwatch,East,2867
2024-05-15,Headphones,North,1237
2024-12-30,Headphones,North,2627
2024-11-16,Headphones,East,4217
2024-12-07,Smartphone,West,3520
2024-05-24,Headphones,East,4878
2024-11-22,Tablet,West,4006
2024-08-04,Laptop,North,3737
2024-10-27,Headphones,North,3053
2024-05-11,Laptop,West,2467
2024-10-18,Smartphone,North,4321
2024-03-10,Laptop,West,376
2024-09-08,Smartphone,South,2099
2024-10-01,Tablet,East,1327
2024-12-29,Smartphone,South,3852
2024-06-30,Smartphone,West,3835
2024-06-15,Smartwatch,East,795
2024-03-31,Headphones,West,1409
2024-07-20,Headphones,East,4252
2024-12-11,Tablet,East,3334
2024-01-19,Tablet,East,4214
2024-02-08,Headphones,East,2411
2024-05-05,Smartwatch,West,2941
2024-06-21,Headphones,East,4308
2024-05-20,Smartwatch,East,3659
2024-08-29,Tablet,South,3498
2024-08-07,Laptop,North,641
2024-05-05,Tablet,North,2794
2024-02-27,Tablet,South,4774
2024-05-27,Smartphone,South,1188
2024-11-12,Smartphone,West,3463
2024-12-26,Smartphone,West,124
2024-01-01,Smartphone,West,1672
2024-12-13,Smartwatch,South,3058
2024-07-08,Headphones,South,4336
2024-07-09,Laptop,East,1867
2024-11-07,Tablet,West,4843
2024-04-26,Smartwatch,West,2335
2024-05-13,Laptop,West,300
2024-02-27,Smartwatch,North,3298
2024-02-13,Smartwatch,East,356
2024-06-21,Tablet,West,3847
2024-06-08,Headphones,West,4742
2024-06-21,Smartphone,West,2341
2024-11-12,Headphones,North,3275
2024-10-29,Tablet,North,3706
2024-05-28,Tablet,South,3436
2024-03-20,Tablet,East,4997
2024-07-31,Laptop,South,513
2024-07-21,Headphones,East,2114
2024-09-08,Headphones,North,1481
2024-08-16,Smartwatch,West,1198
2024-06-12,Smartwatch,South,3526
2024-08-14,Smartwatch,West,3755
2024-05-26,Tablet,South,1009
2024-01-20,Headphones,North,287
2024-02-16,Tablet,North,4144
2024-08-20,Laptop,North,3856
2024-10-31,Smartwatch,South,2115
2024-01-14,Tablet,East,2192
2024-05-22,Tablet,South,3744
2024-01-01,Laptop,East,2230
2024-02-23,Smartphone,South,457
2024-09-15,Headphones,South,2522
2024-05-23,Smartphone,North,4357
2024-01-12,Smartwatch,West,4645
2024-11-25,Tablet,West,1597
2024-08-11,Laptop,East,2258
2024-09-28,Laptop,West,2655
2024-12-23,Headphones,South,2442
2024-06-04,Smartphone,South,3051
2024-01-08,Headphones,North,1338
2024-05-01,Tablet,North,1073
2024-12-13,Headphones,West,4827
2024-06-12,Laptop,East,4065
2024-03-30,Laptop,West,1150
2024-05-15,Smartwatch,West,3801
2024-07-04,Smartwatch,West,2880
2024-11-11,Tablet,West,1688
2024-06-26,Smartphone,South,3978
2024-01-28,Headphones,East,2468
2024-08-07,Tablet,South,536
2024-12-22,Smartwatch,East,2928
2024-02-10,Headphones,North,1656
2024-08-15,Smartwatch,West,3958
2024-07-10,Headphones,South,1404
2024-05-24,Smartphone,East,2484
2024-07-19,Tablet,North,282
2024-07-30,Headphones,North,1689
2024-08-07,Laptop,West,1687
2024-08-27,Laptop,East,759
2024-02-15,Headphones,South,259
2024-02-04,Headphones,West,4053
2024-09-09,Headphones,South,1111
2024-03-22,Laptop,North,152
2024-09-12,Laptop,South,2407
2024-07-15,Headphones,South,1328
2024-10-29,Smartwatch,West,1135
2024-01-10,Smartwatch,South,3802
2024-11-07,Smartphone,West,4145
2024-10-12,Tablet,North,4549
2024-08-29,Smartwatch,West,1364
2024-09-07,Laptop,West,1984
2024-12-30,Smartwatch,East,1909
2024-01-05,Smartphone,South,3267
2024-04-28,Smartphone,North,3897
2024-10-15,Tablet,West,2441
2024-03-05,Smartwatch,North,3514
2024-05-25,Laptop,East,917
2024-08-11,Laptop,South,2537
2024-08-26,Headphones,West,988
2024-06-25,Laptop,South,767
2024-09-23,Tablet,East,4828
2024-12-06,Tablet,East,2724
2024-10-08,Laptop,North,4332
2024-03-03,Laptop,West,4623
2024-08-04,Headphones,North,918
2024-12-07,Laptop,East,2288
2024-11-10,Headphones,South,1206
2024-10-09,Headphones,North,2324
2024-06-25,Laptop,North,297
2024-04-07,Smartphone,South,2771
2024-04-14,Smartphone,North,3592
2024-04-08,Headphones,South,2548
2024-11-06,Laptop,West,570
2024-01-06,Smartphone,South,2048
2024-07-15,Laptop,West,3999
2024-12-16,Laptop,South,2110
2024-05-12,Laptop,East,3900
2024-12-23,Smartwatch,East,4218
2024-09-15,Laptop,West,3896
2024-01-23,Smartwatch,West,4088
2024-02-22,Headphones,East,334
2024-06-13,Smartphone,West,1028
2024-07-20,Smartphone,South,3707
2024-03-23,Smartphone,South,622
2024-05-24,Smartphone,East,3623
2024-03-25,Smartphone,North,4626
2024-03-18,Smartphone,South,4988
2024-12-31,Smartphone,West,1729
2024-01-01,Headphones,North,4728
2024-02-20,Laptop,North,1416
2024-06-21,Tablet,South,2957
2024-07-23,Smartwatch,South,1224
2024-09-16,Tablet,North,2687
2024-10-14,Tablet,North,1123
2024-02-03,Laptop,East,1478
2024-12-13,Laptop,West,3474
2024-04-04,Laptop,East,1619
2024-03-12,Smartphone,South,326
2024-02-08,Headphones,East,991
2024-06-02,Smartphone,East,4172
2024-09-06,Headphones,East,2357
2024-06-10,Headphones,East,2888
2024-04-27,Tablet,West,496
2024-09-15,Tablet,West,2178
2024-11-01,Headphones,North,4844
2024-09-24,Headphones,South,4524
2024-02-23,Smartphone,East,3337
2024-08-23,Smartphone,North,3993
2024-08-09,Tablet,North,2105
2024-09-07,Laptop,North,2116
2024-11-08,Headphones,West,3271
2024-04-21,Smartphone,East,2768
2024-09-11,Tablet,East,1978
2024-10-29,Smartphone,South,1296
2024-07-25,Headphones,East,1872
2024-08-16,Headphones,East,261
2024-12-06,Smartwatch,North,4076
2024-03-06,Laptop,South,1851
2024-03-15,Smartwatch,East,875
2024-04-12,Tablet,West,1039
2024-07-10,Smartphone,East,3320
2024-09-08,Tablet,North,639
2024-08-13,Headphones,West,1561
2024-10-20,Smartwatch,North,455
2024-11-01,Smartwatch,East,3704
2024-04-07,Smartwatch,West,3423
2024-12-03,Tablet,South,334
2024-10-12,Headphones,South,1648
2024-11-30,Smartphone,West,2196
2024-12-12,Smartphone,West,4313
2024-11-03,Tablet,North,2201
